"user_id","text"
404,"I had my interview scheduled with Amazon for 6 months internship (on-campus) and I didn't have any prior interview experience of any big company. I wanted to get real feel of the Amazon interview. Luckily I found Prankur sir who's already working at Amazon and came to know about his 1:1 sessions. Without a second thought, I booked Mock interview session. I can clearly say that it was really similar to the actual one and all the feedback given by Prankur sir at the end of the interview of my presentation style, I worked on and didn't repeat in the actual interview and thus it helped me in cracking the interview of Amazon. Thanks a lot Prankur sir for your sessions and feedback."
404,"The session was really helpful for me to understand how I should prepare myself for online assessment and onsite rounds at Amazon. You listed the DS and algo topics which I can use to ensure that I have covered all the topics. Then, you gave me some tips, such as - I should not focus on solving the problem only, rather I should focus on the approach to solve the problem. Regarding DP, one of your tips, such as - don't try to solve the dp problems with ""bottom to top"" approach is really valuable. Also, there were other tips on backtracking recursion. These are the tips that I might not get by googling. Also, your work experience in product-based company really inspired me to work hard for the interview. Although I have a very short time right now to prepare myself. So, if I don't get selected this time, I will definitely try Amazon or other product-based companies the the near future.  I am very thankful that you have given your valuable time & suggestion for preparing me for the interv"
404,"Hi Prankur bhaiya,

First of all, thank you for so much for taking out time for a 1:1 session with me. Before the session, I was very confused about the preparation strategy and list of topics to be covered. I was kind of stuck in the loop, where I was repeating the same things again and again.

But after the session, most of my doubts got resolved, you gave me an action plan to follow, you made me understand about the switch process in depth and what are the key things which needs to be done when someone wants to switch. 

I would really like to thank you for you valuable guidance. Keep doing the good work. It is really helpful for the folks who doesn't have proper guidance."
404,"The session provided a lot of clarity for me. It was a very useful session and was really helpful for my resume building and for my future job searches. Since it was a 1 to 1 session I was able to get plenty of my doubts clarified on an individual level. Overall the session was really awesome!"
404,"It was a very insightful session. I really liked the part where you first asked me how I am approaching problems and then you told me what I am doing wrong while approaching the problems. 
It was very helpful for me because before this I was solving problems but now I know how to find patterns and how to use those patterns to solve problems.

The whole session was very helpful for me and i will follow the points which were discussed in the session.
Thank you for your time and sharing your experience and knowledge"
681,"This time I booked a slot for DSA guidance and I was really in need of some guidance for DSA preparation. I was trying hard from a long time.

But I believe working hard in right direction is a correct thing to do.

So, with today's session now I feel like I have some plan and some guidance and feel confident to walk through this journey.

Thank you very much for the session. I appreciate this"
1408,"I attended the session and I can say for sure that she took those sessions because she was passionate about guiding the students. I still can't imagine how she took it out all day.
She recommended to me a clear way on how to start learning DSA. Looking forward to attending more sessions with AYUSHI and thank you so much!"
1162,"It was really a great session. Learned a lot."
404,"Hi Prankur bhai,

Thank you so much for providing guidance on interview preparation strategy & sharing your interview experiences. 

One thing I liked most about this session is ""how to prepare for DSA and practice it and how I can make notes so that it can be helpful"". And also you resolved all of the queries related to interview preparation and resume related things.

Thanks again, it was a really nice meeting with you."
681,"Hi Amit,
First of all thank you for this initiative. Got a clear roadmap on how should I plan my next few months to learn the right skill set required.

Also got an idea on how to approach DSA problem to increase efficiency and build logic.

Thank you"
404,"First of all, it was a great pleasure talking with you sir. I was kinda lost before I had the session with you, but after speaking with you, I feel like my path is set, your advice on how should I make notes for every new problem is something I would have never done if I hadn't spoken with you. I now have clarity on how to proceed with each topic in the most efficient and optimal way. The depth and breadth-first methods on how to proceed with topics were very insightful. Now I feel confident in my preparation journey.

 Thank you so much for conducting this session for such a low price. Hoping to join your mentorship program to connect with you for more sessions in the future."
1204,"Firstly, I am very thankful to Shubham Bhaiya for sharing his inputs...I think this platform is good for whosoever is confused about what to do...I hope to learn a lot from you, Shubham bhaiya. 

I am very thankful and the meeting was really amazing! :)"
669,"I noted down all the points that you mentioned. You were definitely clear and correct on the path that I should focus on the current task at hand. I'll keep that a point and also steadily keep preparing for when the right time comes, I'll be prepared. Thank you very much for the time Aanshul, it went quite fast but I understand you are doing a great job! Appreciated and indeed helpful!"
1328,"Amritanjali is very nice person to talk with and clear any resume and interview related doubts, she is friendly in nature and delivers her knowledge with perfection."
1204,"I would like to say thank you Shubham Aggarwal for your valuable advice, support, and help.
You helped me prepare a plan to develop a good career path in the field of IT mainly focusing on topics like resume building, improving LinkedIn profile and as well concepts related to DSA, HLD. Also your proper guidance helped me to make necessary changes within me for achieving success in the coming future. Plus if I face any problem or doubts related to a particular topic, I will be sure to connect with you.
Please accept my gratitude for your continued support and guidance.
I appreciate your help so much."
885,"Thank you for the discussion. It was great to talk about the data engineer profile... what will be the requirements, how we should represent it in the resume and thank you for giving me the confidence."
4641,"Very honest and to the point :)"
681,"Thanks for the amazing session, Amit! There was a time when I was struggling to think what to do and what not to do to better my career, but now it's almost clear and comfortable after having a discussion with you."
75,"The short connect with Ankit was one of the deepest conversations I had in a long time about career and entrepreneurship. Really appreciate the help and guidance from Ankit. I loved the raw and true facts and honest guidance that I received from you and will definitely look forward towards more such connects in the future. I love the topmate app, love the product and minimalist features and will continue using it.

Looking forward to a great journey ahead for topmate and it's team.

Regards,
Avinesh"
1556,"I opt for capgemini mock interview and even asked my query related to placemen, and Anshul as always solved it and even he told me some points where i can improve in capgemini interview"
